,Entrance,Clearing
155,2018-05-11 10:38:00,2018-05-11 10:41:00
156,2018-05-11 11:13:00,2018-05-11 11:16:00
157,2018-05-11 11:32:00,2018-05-11 11:35:00
158,2018-05-14 09:52:00,2018-05-14 09:55:00
159,2018-05-14 10:12:00,2018-05-14 10:15:00
160,2018-05-14 10:46:00,2018-05-14 10:49:00
161,2018-05-16 09:57:00,2018-05-16 10:00:00
162,2018-05-16 14:59:00,2018-05-16 15:02:00
163,2018-05-16 15:11:00,2018-05-16 15:14:00
164,2018-05-17 09:30:00,2018-05-17 09:33:00
165,2018-05-21 09:31:00,2018-05-21 09:34:00
166,2018-05-21 15:15:00,2018-05-21 15:18:00
167,2018-05-21 15:29:00,2018-05-21 15:32:00
168,2018-05-23 09:30:00,2018-05-23 09:33:00
169,2018-05-29 15:29:00,2018-05-29 15:32:00
170,2018-05-30 09:11:00,2018-05-30 09:14:00
171,2018-05-30 09:29:00,2018-05-30 09:31:00
172,2018-05-30 12:15:00,2018-05-30 12:18:00
173,2018-05-31 09:46:00,2018-05-31 09:49:00
174,2018-05-31 15:07:00,2018-05-31 15:10:00
175,2018-06-01 15:27:00,2018-06-01 15:30:00
176,2018-06-04 10:05:00,2018-06-04 10:08:00
177,2018-06-04 12:38:00,2018-06-04 12:41:00
178,2018-06-04 15:18:00,2018-06-04 15:21:00
179,2018-06-05 15:00:00,2018-06-05 15:03:00
180,2018-06-08 15:18:00,2018-06-08 15:21:00
181,2018-06-14 12:06:00,2018-06-14 12:09:00
182,2018-06-14 15:11:00,2018-06-14 15:12:00
183,2018-06-18 09:38:00,2018-06-18 09:41:00
184,2018-06-18 10:17:00,2018-06-18 10:20:00
185,2018-06-18 11:02:00,2018-06-18 11:05:00
186,2018-06-19 10:11:00,2018-06-19 10:14:00
187,2018-06-19 10:28:00,2018-06-19 10:31:00
188,2018-06-19 11:07:00,2018-06-19 11:10:00
189,2018-06-20 09:19:00,2018-06-20 09:22:00
190,2018-06-20 10:19:00,2018-06-20 10:22:00
191,2018-06-21 09:12:00,2018-06-21 09:15:00
192,2018-06-21 09:33:00,2018-06-21 09:36:00
193,2018-06-21 09:53:00,2018-06-21 09:56:00
194,2018-06-22 09:27:00,2018-06-22 09:30:00
195,2018-06-22 10:15:00,2018-06-22 10:18:00
196,2018-06-22 13:29:00,2018-06-22 13:32:00
197,2018-06-25 09:36:00,2018-06-25 09:39:00
198,2018-06-25 14:41:00,2018-06-25 14:44:00
199,2018-06-26 09:43:00,2018-06-26 09:46:00
200,2018-06-26 11:13:00,2018-06-26 11:16:00
201,2018-06-26 11:29:00,2018-06-26 11:32:00
202,2018-06-27 10:50:00,2018-06-27 10:53:00
204,2018-06-28 09:26:00,2018-06-28 09:29:00
205,2018-06-28 14:21:00,2018-06-28 14:24:00
206,2018-06-28 14:44:00,2018-06-28 14:47:00
207,2018-06-29 09:39:00,2018-06-29 09:40:00
208,2018-06-29 09:48:00,2018-06-29 09:51:00
209,2018-06-29 15:34:00,2018-06-29 15:45:00
210,2018-07-02 09:33:00,2018-07-02 09:36:00
211,2018-07-02 13:16:00,2018-07-02 13:19:00
212,2018-07-02 13:36:00,2018-07-02 13:39:00
213,2018-07-03 09:37:00,2018-07-03 09:40:00
214,2018-07-03 09:59:00,2018-07-03 10:02:00
215,2018-07-03 12:28:00,2018-07-03 12:31:00
216,2018-07-04 11:23:00,2018-07-04 11:26:00
217,2018-07-04 12:27:00,2018-07-04 12:30:00
218,2018-07-04 13:55:00,2018-07-04 13:58:00
219,2018-07-05 11:00:00,2018-07-05 11:03:00
220,2018-07-05 11:19:00,2018-07-05 11:22:00
221,2018-07-05 12:37:00,2018-07-05 12:40:00
222,2018-07-06 11:35:00,2018-07-06 11:38:00
223,2018-07-06 12:39:00,2018-07-06 12:42:00
224,2018-07-10 10:53:00,2018-07-10 10:54:00
225,2018-07-12 09:31:00,2018-07-12 09:34:00
226,2018-07-12 14:02:00,2018-07-12 14:05:00
227,2018-07-13 09:43:00,2018-07-13 09:46:00
228,2018-07-13 11:39:00,2018-07-13 11:42:00
229,2018-07-16 15:04:00,2018-07-16 15:07:00
230,2018-07-17 09:42:00,2018-07-17 09:45:00
231,2018-07-17 10:33:00,2018-07-17 10:36:00
232,2018-07-17 15:08:00,2018-07-17 15:11:00
233,2018-07-18 14:18:00,2018-07-18 14:21:00
234,2018-07-18 14:45:00,2018-07-18 14:46:00
235,2018-07-19 10:08:00,2018-07-19 10:11:00
236,2018-07-19 12:14:00,2018-07-19 12:17:00
238,2018-07-20 10:49:00,2018-07-20 10:52:00
239,2018-07-20 15:10:00,2018-07-20 15:13:00
240,2018-07-20 15:29:00,2018-07-20 15:32:00
241,2018-07-23 09:33:00,2018-07-23 09:36:00
242,2018-07-23 09:59:00,2018-07-23 10:00:00
243,2018-07-23 10:32:00,2018-07-23 10:35:00
244,2018-07-24 09:20:00,2018-07-24 09:23:00
245,2018-07-24 10:48:00,2018-07-24 10:51:00
246,2018-07-24 12:06:00,2018-07-24 12:09:00
247,2018-07-25 09:25:00,2018-07-25 09:28:00
248,2018-07-25 09:52:00,2018-07-25 09:55:00
249,2018-07-25 10:42:00,2018-07-25 10:45:00
250,2018-07-27 11:13:00,2018-07-27 11:16:00
251,2018-07-27 14:36:00,2018-07-27 14:39:00
